32.84	27.83	24.42	18.93	16.89
25.69	22.71	19.58	16.8	14.84
23.73	21.56	18.11	15.73	14.57
23.22	20.17	17.23	15.22	13.67
22.21	18.08	15.17	13.75	11.86
